id,key,mode,time_signature,danceability,energy,loudness,speechiness,acousticness,instumentalness,liveness,valence,tempo
31r9G4vYv3AprvPJM7AsX9,1,1,4,0.691,0.641,-4.791,0.0652,0.0535,0,0.274,0.378,119.924
7pSn2j9BhIWMqmKDfhkbTQ,2,0,4,0.574,0.587,-6.565,0.066,0.0665,0,0.467,0.353,132.091
5QmiMINK8PVpuromxLVqJn,1,1,4,0.62,0.501,-7.329,0.0571,0.145,0,0.17,0.118,137.199
3a5E43VYhAo25NlVLDPPQd,8,1,4,0.606,0.619,-7.565,0.0566,0.00295,0,0.157,0.477,139.971
10qFh6PlEkDZBdgkyXmL3R,4,0,4,0.684,0.56,-7.939,0.056,0.517,2.17e-05,0.12,0.149,140.021
7GCCR2IyFylZO621gkKmww,11,0,4,0.699,0.475,-9.299,0.138,0.128,0,0.134,0.0821,130.109
4qEuVZCXLi9IFhkWzhj3GS,10,0,4,0.608,0.393,-9.531,0.195,0.333,0,0.0933,0.465,95.828
385QArWR7KoT1hFLZoAZCc,7,1,4,0.768,0.537,-7.585,0.148,0.0474,0,0.0976,0.255,125.016
6oxV0UoJllrXUFGsGxe2iT,1,1,4,0.521,0.742,-3.851,0.263,0.297,0,0.0621,0.727,83.97
4UVi6KT98KVLL27z2buJlG,7,0,4,0.873,0.669,-6.588,0.149,0.0493,0,0.0669,0.64,145.955
54ZG8SPqphWy23Og6nH7PY,5,0,4,0.766,0.621,-3.843,0.248,0.145,0,0.156,0.651,144.919
1SEcBXRlFw5R5QAXntDrwH,2,1,4,0.736,0.527,-7.113,0.0927,0.0604,0,0.112,0.317,153.995
4bvVvzmt4s1saVh2Es97Yx,9,1,4,0.665,0.629,-6.417,0.0668,0.0201,0,0.211,0.506,157.797
6YGjWy2mYuDTnthLMdPzHP,5,1,4,0.763,0.662,-5.938,0.0837,0.00257,0,0.214,0.396,150.067
1hnNHPy45iCbdXxFTusDOn,1,1,4,0.802,0.475,-6.971,0.101,0.0325,0,0.0959,0.325,141.949
6mtFYedCI3JMISqd7rITVw,4,0,4,0.803,0.486,-6.509,0.213,0.748,0,0.166,0.494,106.991
7yPySqBggjpWsuM7BjYevD,9,1,4,0.764,0.574,-6.219,0.133,0.00376,1.51e-06,0.112,0.313,80.501
4qch7lIHzL2ZphmFlD0B8Z,2,0,4,0.426,0.579,-9.045,0.429,0.514,0,0.111,0.456,170.919
5ZnWj1YrfW9jdRxgRDMarB,10,1,4,0.696,0.524,-6.883,0.219,0.0214,0,0.141,0.388,136.833
5i8ZRP7tOHPsFBTPU7GXNO,1,0,4,0.757,0.902,-2.835,0.0631,0.162,0.00226,0.121,0.759,109.003
01s1HGlw9yqT0U242yffBb,11,0,4,0.837,0.728,-5.212,0.184,0.311,0,0.105,0.566,78.518
28eiD8ukLWhTvoDm1ZFPK0,8,0,4,0.848,0.786,-4.133,0.337,0.312,0,0.193,0.694,87.99
21aWm7KFi70DLGomjOUD9D,9,1,4,0.877,0.634,-5.099,0.259,0.0521,0,0.0785,0.569,146.968
33uXY8BVbW4pOPhkeEr8do,2,1,4,0.762,0.736,-3.403,0.21,0.0769,0.0255,0.144,0.275,173.994
1nhQeIgGXHe50L8Yzw6GVs,7,1,4,0.755,0.732,-6.293,0.195,0.0356,6.46e-05,0.125,0.456,90.018
6uZU7ZkcLtzI1mBfy1HW7U,1,1,4,0.77,0.715,-5.903,0.045,0.0359,0.00175,0.0863,0.467,150.033
5NixBIQMl8ugl8BHwpIChN,4,0,4,0.81,0.416,-8.036,0.485,0.0982,0.179,0.109,0.341,173.893
4Hh5bo6KQF0Ys0ZLQu5lTz,10,0,4,0.848,0.422,-8.022,0.065,0.0657,0.00146,0.137,0.209,141.016
7I9svbEdAvJrXNdruNhad4,6,0,5,0.689,0.732,-5.081,0.373,0.278,5.81e-05,0.106,0.482,128.981
0mlJoKzEY0kyTXwSr7k3H7,10,0,4,0.836,0.755,-5.445,0.131,0.0519,0.0319,0.0606,0.81,153.991
5AHu27TVFUg0ANQUrFDMr0,7,1,4,0.88,0.775,-5.133,0.094,0.114,0.00267,0.0944,0.288,96.504
2J6A4LdwWN5fI94BoopuqI,8,1,4,0.848,0.62,-7.085,0.188,0.015,0,0.195,0.366,119.963
3GhtfEbz9yxPa1VpMMppZ8,0,1,5,0.765,0.357,-7.024,0.102,0.144,0,0.126,0.126,100.725
448lrYt4In4wn8tBi4xVmb,1,1,4,0.374,0.612,-5.492,0.124,0.315,4.47e-05,0.128,0.365,78.74
6aP5nH2SNEQzf4EXA6bjAh,11,1,4,0.7,0.493,-7.577,0.14,0.349,0.000163,0.207,0.153,143.005
1K3VcuM40p1fJHaORY514o,10,1,4,0.875,0.54,-7.083,0.412,0.217,0.00203,0.562,0.728,157.025
4aiJtRh8v8Lc6Sc9obDloS,10,0,3,0.678,0.88,-4.115,0.171,0.13,0.000532,0.63,0.595,121.046
3uX4ZoUyk5GACYjqteE4SY,0,1,4,0.743,0.923,-4.708,0.151,0.035,0.0355,0.271,0.403,90.993
6supMAknraGpJrN5qqYfV8,7,1,4,0.898,0.733,-4.75,0.178,0.0533,0.000115,0.102,0.295,96.51
6bXSYxP6WDlNCr6Jk1H3MW,1,1,4,0.908,0.365,-9.954,0.0942,0.0927,0,0.261,0.742,119.977
6LZYusEdyzlQLqK1NrTs1l,7,0,4,0.936,0.559,-8.591,0.158,0.479,0,0.129,0.517,112.339
7oVKKYFeHdQ2e0gStX2X2T,7,1,4,0.638,0.403,-8.732,0.159,0.595,0,0.382,0.781,91.971
0JrEzCIvMQlErAXTliTw4a,1,0,4,0.766,0.882,-3.895,0.0491,0.0429,3.99e-06,0.115,0.503,98.051
0u695M7KyzXaPIjpEbxOkB,1,1,4,0.636,0.824,-3.426,0.139,0.0184,0,0.136,0.452,155.056
4q6356bqn2qC7t3R6TVR6L,3,0,4,0.761,0.341,-9.886,0.0478,0.126,0,0.105,0.334,92.03
6yOBmMQGYhgU5XQP0LSPGn,4,1,4,0.383,0.683,-6.059,0.23,0.143,0.000218,0.124,0.241,173.129
1Iex2OYJqQq36eGhfDBomD,5,1,4,0.719,0.624,-6.645,0.133,0.0142,0.439,0.1,0.315,95.051
7AkRX623KD9AtHzVe84c5K,2,1,4,0.531,0.491,-9.386,0.0552,0.547,0.00238,0.312,0.445,184.005
1KS1oIy4Z6hF1HfMEXCVWS,8,1,4,0.679,0.598,-7.239,0.0373,0.379,0.0143,0.188,0.592,116.001
3sPEeKpxL1WcKdznxdLPQh,6,0,4,0.759,0.508,-6.866,0.115,0.461,0,0.364,0.164,108.15
6ccrTFwXT5UjhqJiBhJtKv,2,0,4,0.55,0.653,-4.482,0.206,0.124,1.99e-05,0.403,0.368,151.313
6f4vzKDaIJKlyaPFP3eMaq,8,0,4,0.728,0.37,-9.493,0.0339,0.169,0.000156,0.116,0.132,104.963
653bGNENHxbEtRv6haQiHs,4,0,4,0.349,0.34,-9.75,0.0344,0.243,0.000223,0.176,0.0651,130.81
7e9mIhyGrczVR54TG0HnzV,9,1,4,0.692,0.543,-8.467,0.156,0.39,0.000127,0.104,0.154,119.973
0QsR8sNvbtubrAflfzXavx,5,1,4,0.448,0.485,-13.304,0.0341,0.731,0.0493,0.0819,0.0455,101.92
22SVZhVueWolx9hZ7pYFPi,9,1,5,0.583,0.435,-10.705,0.167,0.0322,0.000381,0.0955,0.0359,160.234
54ZI36LF4MY5qKtHNXwMZk,0,1,4,0.578,0.291,-10.852,0.0307,0.237,0.59,0.351,0.173,118.021
7c4fA40ZqbaLZJImGSodds,1,1,4,0.7,0.576,-7.511,0.127,0.0292,0,0.13,0.575,87.022
1bJRRU783hV9fd98wwadWB,7,1,4,0.601,0.416,-8.535,0.0306,0.0719,0,0.0866,0.0738,90.004
0opyA9BAMhZ85mXikxg3qr,4,0,4,0.754,0.558,-8.694,0.0365,0.0587,0.0041,0.114,0.203,109.975
0UbnJc9GmsRbubkTlmhQhW,5,0,4,0.884,0.742,-7.687,0.0795,0.00591,0.32,0.395,0.705,140.067
2M9KsmmmB6grt8zyNeysKR,1,1,4,0.633,0.506,-16.808,0.863,0.47,0,0.959,0.784,70.128
2UfFqfSYANBBKa7uJPFyzK,7,1,4,0.512,0.881,-5.102,0.417,0.0384,0,0.269,0.446,77.511
4Qj8gCa5dnj86sL0WIKdfa,1,1,3,0.621,0.779,-4.354,0.406,0.0454,0,0.0479,0.432,90.722
3OXhib7pxAWnmwwoUI6HqY,9,1,4,0.836,0.579,-6.164,0.243,0.00207,0,0.11,0.431,85.486
3gZQk9T3uujQhqaNO7FZbZ,7,1,4,0.756,0.867,-3.626,0.162,0.155,0.00285,0.33,0.666,129.983
2GatydE8QyyevCvUmMhvhS,7,1,4,0.708,0.632,-7.491,0.475,0.133,0,0.621,0.373,137.981
1ZKmKenpeY1Yr94kADGpQF,10,0,4,0.818,0.57,-8.067,0.285,0.384,0.000102,0.19,0.561,126.938
56QspNOQhZHWNONFKcRws0,2,0,4,0.588,0.644,-7.523,0.227,0.6,0,0.647,0.102,97.183
4nwvkfw0KzhLo1bHut8o05,6,0,4,0.613,0.77,-4.197,0.209,0.0951,0,0.076,0.505,80.969
37FFOyjlneevUqyT1RWPVU,7,1,4,0.744,0.697,-8.068,0.368,0.494,0,0.0747,0.64,79.202
5UZj5iJXxpYogvXnHuiNMp,8,1,5,0.741,0.606,-7.833,0.253,0.0195,0.000333,0.337,0.455,108.126
2wqJI08gxFkHAJbCiqtfFz,1,1,4,0.821,0.529,-6.924,0.18,0.0904,1.73e-06,0.162,0.0622,98.555
4o9lniSBluLJwvNNsK1JyS,11,0,4,0.646,0.705,-6.579,0.395,0.0968,0,0.356,0.379,144.056
2Dfp40ZQAJWYhL2EGd4tSP,11,0,4,0.769,0.505,-6.882,0.252,0.0359,0.000106,0.107,0.297,140.063
27rdGxbavYJeBphck5MZAF,7,0,4,0.601,0.794,-5.844,0.0671,0.00987,1.36e-06,0.388,0.244,114.066
6k5B2DslCuvAtgeG09E85Q,2,1,4,0.566,0.765,-6.337,0.0439,0.0248,0,0.0783,0.604,156.036
2gXclup5H2J9dInrVLFs3n,10,1,4,0.509,0.614,-6.7,0.0427,0.557,0,0.201,0.234,147.757
1aWd5MkGpyhqENRiilEWxe,9,1,4,0.486,0.969,-4.457,0.0739,0.0108,0,0.0876,0.827,148.067
5GQ5cRHJPqSfu40Yq86YgF,8,1,4,0.37,0.954,-4.146,0.0624,6.04e-05,4.29e-06,0.137,0.813,174.903
52fJLPcouUhbUYY8YPjPMg,7,1,4,0.361,0.985,-3.71,0.0554,0.00097,0.0318,0.297,0.824,103.029
3rUyUNsmrWS4G1wRvGhrj5,4,1,4,0.313,0.914,-3.448,0.0506,0.000394,0.000642,0.214,0.542,137.391
475hYEAqHqJkYGXEpftDHp,0,1,4,0.188,0.872,-4.397,0.0548,0.00269,1.77e-06,0.159,0.518,186.026
7wTUURwHvDfAfUPHPaxhei,11,1,4,0.455,0.798,-3.153,0.0681,0.00035,0,0.189,0.486,163.074
2TthFUAZXFtT3v1qNgki2t,0,1,4,0.633,0.973,-1.541,0.0637,0.00121,0.0551,0.113,0.76,102.484
2MgHR3W3xEwn7EQu0ZEihw,9,0,4,0.589,0.773,-6.638,0.0296,0.0402,0.00894,0.226,0.792,142.181
4PGWramunj3Bsz5UXCu4ex,4,1,4,0.284,0.576,-6.972,0.035,0.529,3.91e-05,0.187,0.323,82.527
6CsU6I8h9pO1poAYKqrBOF,10,0,4,0.626,0.432,-14.211,0.15,0.796,0.568,0.303,0.338,80.001
3NnUUiYt03RxbXAeTxjj0T,2,0,4,0.752,0.344,-10.975,0.136,0.435,0.132,0.133,0.483,88.179
668eWFIPvqTVhgNROUXx96,5,0,4,0.711,0.53,-9.294,0.108,0.828,0.938,0.296,0.613,81.061
3H1LSNhuBT1miVAJnP18Wv,10,1,4,0.448,0.279,-15.794,0.0347,0.892,0.931,0.161,0.086,90.011
5j8N0DJLkfPSaPemqGrC64,1,1,4,0.7,0.446,-7.634,0.0497,0.167,0.563,0.134,0.487,162.377
6yebK4bWe4a8pTRct9usdz,0,1,4,0.624,0.16,-14.009,0.0396,0.599,0.973,0.129,0.392,86.226
7uRIDXkV9q8QET5Gmg05sM,2,0,4,0.629,0.629,-9.808,0.0992,0.468,0.00829,0.306,0.921,175.506
5pBTh0EM2vGCNZJGaV0pgW,1,1,4,0.434,0.541,-10.904,0.0298,0.341,0.0353,0.233,0.903,89.981
